Store;DayOfWeek;Date;Sales;Customers;Open;Promo;StateHoliday;SchoolHoliday;StoreType;Assortment;CompetitionDistance;CompetitionOpenSinceMonth;CompetitionOpenSinceYear;Promo2;Promo2SinceWeek;Promo2SinceYear;PromoInterval;State;Latitude;Longitude
21;5;31.07.2015;9,515 €;682;1;1;0;1;c;c;550;10;1999;1;45;2009;Jan,Apr,Jul,Oct;Brandenburg;51,84;14,3
22;5;31.07.2015;6,566 €;633;1;1;0;0;a;a;1040;;;1;22;2012;Jan,Apr,Jul,Oct;Bayern;49,52;10,14
23;5;31.07.2015;7,273 €;560;1;1;0;1;d;a;4060;8;2005;0;;;;Hessen;51,54;9,46
24;5;31.07.2015;14,190 €;1082;1;1;0;1;a;c;4590;3;2000;1;40;2011;Jan,Apr,Jul,Oct;Sachsen-Anhalt;52,01;11,04
25;5;31.07.2015;14,180 €;1586;1;1;0;1;c;a;430;4;2003;0;;;;Rheinland-Pfalz;49,7;8,04
26;5;31.07.2015;7,818 €;611;1;1;0;1;d;a;2300;;;0;;;;Niedersachsen;53,74;9,37
27;5;31.07.2015;13,213 €;1263;1;1;0;1;a;a;60;1;2005;1;5;2011;Jan,Apr,Jul,Oct;Thueringen;50,93;12,27
28;5;31.07.2015;7,301 €;663;1;1;0;1;a;a;1200;10;2014;1;6;2015;Mar,Jun,Sept,Dec;Brandenburg;52,64;13,59
29;5;31.07.2015;9,411 €;737;1;1;0;1;d;c;2170;;;0;;;;Mecklenburg-Vorpommern;53,42;12,09
30;5;31.07.2015;4,776 €;625;1;1;0;1;a;a;40;2;2014;1;10;2014;Mar,Jun,Sept,Dec;Bayern;48,79;13,03
31;5;31.07.2015;7,248 €;645;1;1;0;1;d;c;9800;7;2012;0;;;;Mecklenburg-Vorpommern;54,25;12,6
32;5;31.07.2015;6,395 €;635;1;1;0;0;a;a;2910;;;1;45;2009;Feb,May,Aug,Nov;Brandenburg;52,03;13,27
33;5;31.07.2015;10,789 €;915;1;1;0;1;a;c;1320;5;2013;0;;;;Thueringen;50,65;12,09
34;5;31.07.2015;11,144 €;1162;1;1;0;1;c;a;2240;9;2009;0;;;;Berlin;52,42;13,35
35;5;31.07.2015;12,412 €;777;1;1;0;1;d;c;7660;10;2000;1;1;2012;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,34;12,72
36;5;31.07.2015;12,422 €;1251;1;1;0;0;a;c;540;6;2003;1;40;2014;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,57;8,12
37;5;31.07.2015;9,091 €;888;1;1;0;1;c;a;4230;12;2014;0;;;;Rheinland-Pfalz;49,94;7,42
38;5;31.07.2015;7,434 €;608;1;1;0;1;d;a;1090;4;2007;0;;;;Bayern;48,62;11,04
39;5;31.07.2015;8,336 €;929;1;1;0;1;a;a;260;10;2006;1;31;2013;Feb,May,Aug,Nov;Baden-Wuerttemberg;48,55;7,89
40;5;31.07.2015;5,464 €;678;1;1;0;1;a;a;180;;;1;45;2009;Feb,May,Aug,Nov;Niedersachsen;53,42;9,37
41;5;31.07.2015;6,938 €;494;1;1;0;0;d;c;1180;;;1;31;2013;Jan,Apr,Jul,Oct;Bayern;48,3;10,99
42;5;31.07.2015;11,946 €;1235;1;1;0;1;a;c;290;;;1;40;2011;Jan,Apr,Jul,Oct;Bayern;49,86;9,67
43;5;31.07.2015;8,096 €;683;1;1;0;1;d;a;4880;;;1;37;2009;Jan,Apr,Jul,Oct;Niedersachsen;53,69;8,93
44;5;31.07.2015;6,670 €;665;1;1;0;1;a;a;540;6;2011;0;;;;Bayern;48,46;13,05
45;5;31.07.2015;6,301 €;442;1;1;0;1;d;a;9710;2;2014;0;;;;Schleswig-Holstein;53,82;9,75
46;5;31.07.2015;7,628 €;775;1;1;0;0;c;a;1200;9;2005;1;14;2011;Jan,Apr,Jul,Oct;Hessen;50,63;9,65
47;5;31.07.2015;9,379 €;1021;1;1;0;1;a;c;270;4;2013;1;14;2013;Jan,Apr,Jul,Oct;Bayern;47,99;12,7
48;5;31.07.2015;3,874 €;390;1;1;0;1;a;a;1060;5;2012;0;;;;Schleswig-Holstein;54,83;9,41
49;5;31.07.2015;10,310 €;666;1;1;0;1;d;c;18010;9;2007;0;;;;Brandenburg;52,37;13,04
50;5;31.07.2015;5,729 €;441;1;1;0;1;d;a;6260;11;2009;0;;;;Bayern;47,82;11,17
51;5;31.07.2015;9,198 €;610;1;1;0;0;a;c;10570;7;2013;1;9;2011;Jan,Apr,Jul,Oct;Rheinland-Pfalz;50,89;7,76
52;5;31.07.2015;8,031 €;527;1;1;0;0;d;c;450;4;2014;1;39;2010;Jan,Apr,Jul,Oct;Brandenburg;52,72;13,24
53;5;31.07.2015;7,540 €;690;1;1;0;1;a;c;30360;9;2013;0;;;;Nordrhein-Westfalen;50,68;7,37
54;5;31.07.2015;10,732 €;889;1;1;0;1;d;c;7170;8;2014;1;5;2013;Feb,May,Aug,Nov;Bayern;48,2;12,51
55;5;31.07.2015;6,096 €;673;1;1;0;1;a;a;720;11;2004;0;;;;Thueringen;50,64;12,15
56;5;31.07.2015;10,022 €;619;1;1;0;1;d;c;6620;3;2012;1;10;2014;Mar,Jun,Sept,Dec;Brandenburg;52,46;14,58
57;5;31.07.2015;11,594 €;1025;1;1;0;1;d;c;420;6;2014;0;;;;Sachsen-Anhalt;51,83;12,69
58;5;31.07.2015;8,581 €;603;1;1;0;0;a;c;7340;5;2008;1;27;2012;Jan,Apr,Jul,Oct;Hessen;50,77;8,81
59;5;31.07.2015;7,148 €;628;1;1;0;1;a;c;2840;6;2007;1;14;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,78;12,65
60;5;31.07.2015;9,762 €;776;1;1;0;1;d;c;5540;10;2009;0;;;;Sachsen-Anhalt;51,64;10,91
61;5;31.07.2015;5,572 €;665;1;1;0;1;a;c;350;12;2007;1;1;2012;Jan,Apr,Jul,Oct;Brandenburg;52,31;13,82
62;5;31.07.2015;7,495 €;772;1;1;0;1;a;a;2050;;;0;;;;Hessen;51,3;9,14
63;5;31.07.2015;11,525 €;846;1;1;0;1;c;c;3700;6;2010;1;18;2010;Feb,May,Aug,Nov;Niedersachsen;52,91;8,43
64;5;31.07.2015;13,251 €;935;1;1;0;1;d;c;22560;;;1;14;2013;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,54;7,79
65;5;31.07.2015;7,156 €;561;1;1;0;1;a;c;13840;5;2010;1;1;2012;Jan,Apr,Jul,Oct;Bayern;49,25;10,7
66;5;31.07.2015;8,306 €;636;1;1;0;1;d;a;7660;;;1;37;2009;Jan,Apr,Jul,Oct;Bayern;48,32;11,58
67;5;31.07.2015;11,035 €;912;1;1;0;1;a;c;410;2;2006;0;;;;Baden-Wuerttemberg;48,08;9,57
68;5;31.07.2015;11,187 €;1341;1;1;0;1;a;c;250;;;1;35;2012;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;50,83;7,14
69;5;31.07.2015;11,204 €;1371;1;1;0;1;c;c;1130;;;1;40;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,93;13
70;5;31.07.2015;8,613 €;741;1;1;0;1;c;c;4840;;;0;;;;Niedersachsen;53,11;11,04
71;5;31.07.2015;11,545 €;869;1;1;0;1;a;a;17500;8;2008;1;37;2009;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;52,04;7,19
72;5;31.07.2015;5,251 €;520;1;1;0;0;a;a;2200;12;2009;1;13;2010;Jan,Apr,Jul,Oct;Niedersachsen;53;9,09
73;5;31.07.2015;6,026 €;537;1;1;0;1;a;c;1650;9;2008;0;;;;Nordrhein-Westfalen;51,64;7,23
74;5;31.07.2015;7,518 €;929;1;1;0;1;a;a;330;;;0;;;;Nordrhein-Westfalen;51,12;6,17
75;5;31.07.2015;7,444 €;807;1;1;0;1;d;c;22440;12;2013;0;;;;Bayern;48,95;13,59
76;5;31.07.2015;12,887 €;1228;1;1;0;0;d;c;19960;3;2006;0;;;;Sachsen;51,45;12,82
77;5;31.07.2015;10,335 €;780;1;1;0;1;d;c;1090;8;2009;1;10;2014;Jan,Apr,Jul,Oct;Brandenburg;53,26;11,97
78;5;31.07.2015;5,712 €;610;1;1;0;1;a;a;3510;11;2006;1;5;2013;Feb,May,Aug,Nov;Hessen;49,87;8,98
79;5;31.07.2015;7,150 €;643;1;1;0;1;a;a;3320;;;0;;;;Sachsen;51,1;14,57
80;5;31.07.2015;9,810 €;675;1;1;0;1;d;a;7910;;;0;;;;Rheinland-Pfalz;50,31;7,66
81;5;31.07.2015;9,279 €;640;1;1;0;0;a;a;2370;3;2011;1;40;2014;Jan,Apr,Jul,Oct;Bayern;47,99;12,81
82;5;31.07.2015;11,492 €;1035;1;1;0;1;a;a;22390;4;2008;1;37;2009;Jan,Apr,Jul,Oct;Niedersachsen;53,22;9,35
83;5;31.07.2015;3,866 €;327;1;1;0;1;a;a;2710;;;0;;;;Bayern;47,67;11,81
84;5;31.07.2015;14,949 €;1439;1;1;0;1;a;c;11810;8;2014;0;;;;Baden-Wuerttemberg;47,9;8,11
85;5;31.07.2015;7,791 €;971;1;1;0;1;b;a;1870;10;2011;0;;;;Sachsen-Anhalt;52,07;12,23
86;5;31.07.2015;5,572 €;678;1;1;0;1;a;a;480;2;2005;1;31;2013;Jan,Apr,Jul,Oct;Bayern;48,23;10,46
87;5;31.07.2015;6,379 €;715;1;1;0;1;a;a;560;12;2010;0;;;;Bayern;50,02;9,13
88;5;31.07.2015;7,863 €;776;1;1;0;1;a;a;10690;10;2005;0;;;;Hessen;51,5;9,58
89;5;31.07.2015;7,295 €;716;1;1;0;0;a;a;2380;7;2004;1;40;2014;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,25;8,6
90;5;31.07.2015;11,495 €;1295;1;1;0;1;a;a;330;11;2007;0;;;;Rheinland-Pfalz;49,83;7,18
91;5;31.07.2015;6,164 €;554;1;1;0;1;c;a;2410;;;1;35;2011;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;50,69;6,97
92;5;31.07.2015;8,227 €;701;1;1;0;1;c;a;240;;;1;45;2009;Feb,May,Aug,Nov;Baden-Wuerttemberg;48,91;8,38
93;5;31.07.2015;6,548 €;715;1;1;0;1;a;a;16690;;;1;14;2011;Jan,Apr,Jul,Oct;Niedersachsen;52,75;8,3
94;5;31.07.2015;8,372 €;694;1;1;0;1;d;c;14620;;;0;;;;Niedersachsen;52,55;7,03
95;5;31.07.2015;8,445 €;920;1;1;0;1;a;a;1890;10;2014;0;;;;Saarland;49,58;7,11
96;5;31.07.2015;6,370 €;612;1;1;0;1;a;a;8780;2;2005;1;37;2009;Jan,Apr,Jul,Oct;Brandenburg;51,66;13,56
97;5;31.07.2015;8,380 €;802;1;1;0;1;d;c;8980;;;0;;;;Bayern;50,05;9,21
98;5;31.07.2015;7,012 €;512;1;1;0;1;d;c;15140;12;2006;1;1;2012;Jan,Apr,Jul,Oct;Rheinland-Pfalz;49,66;6,94
99;5;31.07.2015;6,571 €;507;1;1;0;0;c;c;2030;11;2003;1;22;2012;Mar,Jun,Sept,Dec;Bayern;47,82;12,89
100;5;31.07.2015;10,280 €;764;1;1;0;0;d;a;17930;;;0;;;;Mecklenburg-Vorpommern;54,07;12,27
101;5;31.07.2015;11,075 €;915;1;1;0;1;d;c;2440;;;1;22;2012;Mar,Jun,Sept,Dec;Brandenburg;53,01;12,87
102;5;31.07.2015;12,602 €;1414;1;1;0;1;a;a;150;12;2007;1;10;2014;Mar,Jun,Sept,Dec;Baden-Wuerttemberg;47,76;7,66
103;5;31.07.2015;5,425 €;453;1;1;0;1;d;c;5210;5;2015;0;;;;Baden-Wuerttemberg;47,99;7,85
104;5;31.07.2015;10,483 €;1223;1;1;0;1;a;a;390;6;2009;0;;;;Niedersachsen;52,37;9,66
105;5;31.07.2015;6,456 €;595;1;1;0;1;a;c;6190;;;1;23;2013;Mar,Jun,Sept,Dec;Bayern;50,03;10,97
106;5;31.07.2015;10,845 €;958;1;1;0;1;a;a;1390;8;2013;0;;;;Baden-Wuerttemberg;48,22;8,61
107;5;31.07.2015;9,194 €;1021;1;1;0;1;a;a;1930;9;2009;0;;;;Nordrhein-Westfalen;51,02;8,11
108;5;31.07.2015;14,927 €;992;1;1;0;0;d;c;2190;9;2003;0;;;;Berlin;52,55;13,17
109;5;31.07.2015;9,013 €;864;1;1;0;1;a;c;3300;11;2010;0;;;;Nordrhein-Westfalen;52,05;6,73
110;5;31.07.2015;6,058 €;745;1;1;0;1;a;c;46590;4;2013;0;;;;Niedersachsen;52,57;8,9
111;5;31.07.2015;8,897 €;698;1;1;0;1;d;c;7890;;;1;37;2009;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;50,87;7,14
112;5;31.07.2015;7,834 €;817;1;1;0;1;a;a;1630;9;2009;0;;;;Brandenburg;53,27;12,31
113;5;31.07.2015;8,453 €;735;1;1;0;0;d;c;20930;11;1999;0;;;;Nordrhein-Westfalen;52,32;7,56
114;5;31.07.2015;5,750 €;620;1;1;0;1;c;a;4510;;;1;48;2011;Mar,Jun,Sept,Dec;Mecklenburg-Vorpommern;53,93;11,92
115;5;31.07.2015;9,716 €;674;1;1;0;0;d;c;5740;4;2007;1;40;2014;Jan,Apr,Jul,Oct;Brandenburg;52,01;14,72
116;5;31.07.2015;8,083 €;770;1;1;0;1;a;a;680;4;2013;0;;;;Bayern;48,69;12,63
117;5;31.07.2015;4,487 €;507;1;1;0;1;a;a;3450;9;2011;0;;;;Baden-Wuerttemberg;47,72;8,23
118;5;31.07.2015;10,779 €;797;1;1;0;1;d;c;3580;9;2012;0;;;;Brandenburg;51,8;14,47
119;5;31.07.2015;7,038 €;684;1;1;0;1;a;c;2100;2;2010;0;;;;Bayern;48,55;11,63
120;5;31.07.2015;10,392 €;794;1;1;0;1;d;a;2290;12;2014;1;37;2009;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;54,02;11,9
121;5;31.07.2015;4,565 €;549;1;1;0;1;a;a;3570;11;2009;1;36;2013;Mar,Jun,Sept,Dec;Mecklenburg-Vorpommern;53,95;13,5
122;5;31.07.2015;12,336 €;1327;1;1;0;1;a;c;58260;4;2013;0;;;;Brandenburg;52,41;13,91
123;5;31.07.2015;10,750 €;1108;1;1;0;1;a;a;16760;9;2011;0;;;;Schleswig-Holstein;54,7;8,94
124;5;31.07.2015;7,464 €;780;1;1;0;1;a;a;1410;4;2003;0;;;;Rheinland-Pfalz;49,87;6,73
125;5;31.07.2015;18,227 €;2041;1;1;0;1;a;a;760;12;2005;0;;;;Thueringen;50,78;10,53
126;5;31.07.2015;8,742 €;734;1;1;0;1;d;a;3370;10;2014;1;18;2011;Feb,May,Aug,Nov;Baden-Wuerttemberg;48,3;8,83
127;5;31.07.2015;8,560 €;848;1;1;0;0;d;a;1350;12;2005;1;13;2010;Jan,Apr,Jul,Oct;Thueringen;50,49;11,66
128;5;31.07.2015;9,581 €;694;1;1;0;1;d;c;2000;;;1;1;2013;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,03;9,99
129;5;31.07.2015;10,241 €;1286;1;1;0;0;a;a;2460;;;1;14;2011;Jan,Apr,Jul,Oct;Rheinland-Pfalz;50,69;7,45
130;5;31.07.2015;5,404 €;545;1;1;0;1;c;a;900;;;1;13;2010;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,27;6,34
131;5;31.07.2015;5,291 €;524;1;1;0;1;c;a;920;7;2015;0;;;;Baden-Wuerttemberg;48;8,5
132;5;31.07.2015;10,387 €;743;1;1;0;0;d;c;1040;;;1;27;2012;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,77;8,72
133;5;31.07.2015;8,519 €;876;1;1;0;1;a;a;270;8;2013;1;10;2014;Mar,Jun,Sept,Dec;Schleswig-Holstein;54,2;9,25
134;5;31.07.2015;4,872 €;501;1;1;0;1;a;a;1200;9;2008;0;;;;Niedersachsen;51,59;10,15
135;5;31.07.2015;7,475 €;619;1;1;0;1;d;a;5190;;;1;1;2013;Jan,Apr,Jul,Oct;Niedersachsen;52,31;10,61
136;5;31.07.2015;9,568 €;619;1;1;0;0;a;c;2200;12;2010;1;22;2012;Feb,May,Aug,Nov;Brandenburg;52,01;13,52
137;5;31.07.2015;9,047 €;1121;1;1;0;0;a;a;1730;7;2015;1;40;2014;Jan,Apr,Jul,Oct;Niedersachsen;52,36;9,8
138;5;31.07.2015;10,130 €;866;1;1;0;1;a;c;25360;10;2014;0;;;;Bayern;47,89;10,76
139;5;31.07.2015;7,972 €;564;1;1;0;0;a;a;1700;1;2008;1;14;2011;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;50,69;7,08
140;5;31.07.2015;9,828 €;1085;1;1;0;1;a;c;1090;7;2010;1;1;2013;Jan,Apr,Jul,Oct;Bayern;49,62;10,71
141;5;31.07.2015;8,689 €;813;1;1;0;1;c;c;1540;;;1;22;2012;Mar,Jun,Sept,Dec;Nordrhein-Westfalen;51,42;6,58
142;5;31.07.2015;5,283 €;614;1;1;0;1;a;a;1090;7;2002;0;;;;Brandenburg;52,66;14,21
143;5;31.07.2015;8,382 €;720;1;1;0;1;d;a;2930;12;2002;0;;;;Mecklenburg-Vorpommern;53,43;10,88
144;5;31.07.2015;8,568 €;817;1;1;0;0;a;c;16570;;;0;;;;Bayern;48,77;13,56
145;5;31.07.2015;10,893 €;1343;1;1;0;0;a;a;280;;;1;45;2009;Feb,May,Aug,Nov;Bayern;48,75;13,47
146;5;31.07.2015;10,130 €;784;1;1;0;1;d;c;8050;10;1961;1;48;2012;Jan,Apr,Jul,Oct;Rheinland-Pfalz;49,91;6,66
147;5;31.07.2015;11,338 €;1007;1;1;0;1;d;c;8540;;;0;;;;Brandenburg;52;14,28
148;5;31.07.2015;9,996 €;848;1;1;0;1;a;a;2090;12;2008;0;;;;Brandenburg;52,76;13,09
149;5;31.07.2015;7,144 €;615;1;1;0;0;d;a;2610;7;2006;1;14;2011;Jan,Apr,Jul,Oct;Bayern;48,06;10,33
150;5;31.07.2015;10,826 €;975;1;1;0;1;c;c;31830;3;2010;0;;;;Schleswig-Holstein;54,33;9,43
151;5;31.07.2015;10,607 €;853;1;1;0;1;d;c;4360;10;2005;0;;;;Bayern;49,17;12,49
152;5;31.07.2015;6,901 €;694;1;1;0;1;a;a;1780;;;0;;;;Sachsen;51,38;14,39
153;5;31.07.2015;8,392 €;638;1;1;0;1;a;a;16240;10;2000;1;18;2011;Feb,May,Aug,Nov;Bayern;49,98;11,46
154;5;31.07.2015;10,751 €;792;1;1;0;1;d;c;16420;;;0;;;;Sachsen-Anhalt;52;11,03
155;5;31.07.2015;8,658 €;765;1;1;0;0;d;a;3050;;;1;35;2010;Jan,Apr,Jul,Oct;Niedersachsen;52,35;7,13
156;5;31.07.2015;8,828 €;821;1;1;0;1;a;a;2020;2;2011;1;14;2011;Mar,Jun,Sept,Dec;Sachsen-Anhalt;51,22;11,68
157;5;31.07.2015;10,975 €;1060;1;1;0;1;a;c;2950;10;2004;0;;;;Baden-Wuerttemberg;48,58;8,28
158;5;31.07.2015;11,335 €;636;1;1;0;1;d;c;11840;;;1;31;2009;Feb,May,Aug,Nov;Thueringen;50,71;11,47
159;5;31.07.2015;9,758 €;812;1;1;0;0;d;a;8530;3;2013;0;;;;Bayern;48,67;10,78
160;5;31.07.2015;7,839 €;670;1;1;0;1;d;c;17110;11;2005;0;;;;Sachsen-Anhalt;51,67;12,24
161;5;31.07.2015;9,373 €;924;1;1;0;1;a;c;2970;3;2005;0;;;;Brandenburg;52,07;13,83
162;5;31.07.2015;10,735 €;658;1;1;0;1;d;c;5340;3;2012;1;13;2010;Jan,Apr,Jul,Oct;Thueringen;50,51;11,84
163;5;31.07.2015;7,118 €;823;1;1;0;1;a;a;1480;4;2009;0;;;;Nordrhein-Westfalen;50,83;6,85
164;5;31.07.2015;9,240 €;792;1;1;0;0;a;a;1160;9;2005;1;13;2010;Jan,Apr,Jul,Oct;Niedersachsen;52,7;9,86
165;5;31.07.2015;5,009 €;501;1;1;0;0;a;a;3720;4;2005;1;13;2010;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,19;7,45
166;5;31.07.2015;6,588 €;898;1;1;0;1;a;c;100;4;2014;1;31;2013;Jan,Apr,Jul,Oct;Bayern;48,85;11,43
167;5;31.07.2015;13,355 €;1352;1;1;0;1;a;a;140;4;2008;0;;;;Nordrhein-Westfalen;51,57;6,99
168;5;31.07.2015;11,285 €;957;1;1;0;1;a;a;12540;;;0;;;;Schleswig-Holstein;54,41;10,01
169;5;31.07.2015;7,551 €;657;1;1;0;1;d;a;980;7;2014;1;18;2014;Feb,May,Aug,Nov;Niedersachsen;52,65;10,24
170;5;31.07.2015;5,915 €;589;1;1;0;1;a;a;1070;5;2015;1;14;2011;Jan,Apr,Jul,Oct;Hessen;50,64;8,65
171;5;31.07.2015;8,733 €;848;1;1;0;1;a;a;2640;;;0;;;;Sachsen-Anhalt;51,69;11
172;5;31.07.2015;7,780 €;891;1;1;0;0;a;a;110;;;1;40;2014;Jan,Apr,Jul,Oct;Thueringen;50,51;11,66
173;5;31.07.2015;11,034 €;1145;1;1;0;1;a;a;350;12;2012;0;;;;Niedersachsen;53,12;9,57
174;5;31.07.2015;6,546 €;544;1;1;0;0;a;a;13090;;;1;22;2012;Jan,Apr,Jul,Oct;Baden-Wuerttemberg;48,42;7,77
175;5;31.07.2015;7,893 €;754;1;1;0;1;c;a;4130;;;0;;;;Baden-Wuerttemberg;48,79;9,37
176;5;31.07.2015;7,157 €;734;1;1;0;1;a;a;3770;;;0;;;;Schleswig-Holstein;53,99;8,95
177;5;31.07.2015;5,012 €;525;1;1;0;1;a;a;1250;2;2004;1;5;2013;Feb,May,Aug,Nov;Brandenburg;52,32;13,9
178;5;31.07.2015;12,816 €;1070;1;1;0;1;d;a;1710;;;0;;;;Nordrhein-Westfalen;52,31;8,76
179;5;31.07.2015;10,635 €;1183;1;1;0;1;a;c;480;;;0;;;;Baden-Wuerttemberg;48,23;8,21
180;5;31.07.2015;9,708 €;910;1;1;0;1;d;a;5800;9;2010;0;;;;Nordrhein-Westfalen;51,87;7,8
181;5;31.07.2015;8,398 €;801;1;1;0;0;a;a;12610;3;2013;1;14;2011;Jan,Apr,Jul,Oct;Niedersachsen;51,59;10,55
182;5;31.07.2015;6,755 €;491;1;1;0;1;d;c;1390;;;1;9;2011;Mar,Jun,Sept,Dec;Brandenburg;51,41;13,55
183;5;31.07.2015;5,588 €;714;1;1;0;0;a;a;9670;;;0;;;;Hessen;49,74;9,1
184;5;31.07.2015;8,190 €;652;1;1;0;1;d;c;3560;;;0;;;;Brandenburg;53,38;13,63
185;5;31.07.2015;7,958 €;602;1;1;0;1;d;c;1860;5;2015;0;;;;Thueringen;50,9;12,02
186;5;31.07.2015;4,957 €;447;1;1;0;0;a;a;290;10;2011;1;40;2014;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,41;13,06
187;5;31.07.2015;8,074 €;907;1;1;0;1;a;c;19360;;;0;;;;Mecklenburg-Vorpommern;53,74;13,6
188;5;31.07.2015;9,660 €;746;1;1;0;1;d;a;850;;;1;18;2011;Feb,May,Aug,Nov;Niedersachsen;53,05;9,37
189;5;31.07.2015;11,094 €;940;1;1;0;1;d;a;5760;7;2014;0;;;;Nordrhein-Westfalen;50,57;6,64
190;5;31.07.2015;9,772 €;821;1;1;0;0;a;a;1470;12;2006;1;40;2014;Jan,Apr,Jul,Oct;Nordrhein-Westfalen;51,7;7,21
191;5;31.07.2015;8,592 €;801;1;1;0;0;a;a;1100;8;2013;1;40;2014;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,82;13,57
192;5;31.07.2015;16,191 €;1027;1;1;0;0;d;c;2770;3;2008;1;40;2014;Jan,Apr,Jul,Oct;Thueringen;50,56;10,59
193;5;31.07.2015;5,904 €;813;1;1;0;1;a;a;520;;;0;;;;Bayern;47,44;11,01
194;5;31.07.2015;6,708 €;518;1;1;0;1;d;c;16970;;;1;5;2013;Feb,May,Aug,Nov;Nordrhein-Westfalen;51,73;8,46
195;5;31.07.2015;13,443 €;1403;1;1;0;1;a;c;220;;;0;;;;Bayern;50,41;10,35
196;5;31.07.2015;6,784 €;780;1;1;0;1;c;a;3850;11;2005;1;14;2011;Jan,Apr,Jul,Oct;Bayern;49,2;11,26
197;5;31.07.2015;10,136 €;1054;1;1;0;1;c;a;4210;3;2015;0;;;;Sachsen;51,06;13,4
198;5;31.07.2015;3,824 €;473;1;1;0;1;a;a;290;9;2002;1;13;2010;Jan,Apr,Jul,Oct;Bayern;47,58;11,47
